id,restaurant,category,price_tier,neighborhood,opening_hour,closing_hour,average_rating,good_for_kids
54,Quo Lux,Sweden,medium,Astoria,10:00,21:00,1,false
55,Zaam-Dox,Philippines,medium,Carroll Gardens,10:00,21:00,3,true
56,Stronghold,Czech Republic,cheap,Astoria,10:00,21:00,3,true
57,Tempsoft,Guatemala,medium,SoHo,10:00,21:00,1,false
58,Mat Lam Tam,France,cheap,DUMBO,10:00,21:00,5,true
59,Fix San,China,expensive,Jackson Heights,10:00,21:00,5,true
60,Flowdesk,Czech Republic,cheap,Midtown,10:00,21:00,2,false
61,Trippledex,Norway,cheap,Upper West Side,10:00,21:00,1,true
62,Subin,Russia,expensive,Sunset Park,10:00,21:00,3,false
63,Lotstring,Norway,cheap,Upper East Side,10:00,21:00,2,false
64,Matsoft,Indonesia,expensive,Red Hook,10:00,21:00,3,false
65,Mat Lam Tam,Poland,medium,Morningside Heights,10:00,21:00,1,false
66,Ventosanzap,Uruguay,medium,Prospect Heights,10:00,21:00,5,true
67,Bigtax,Papua New Guinea,medium,Flatiron District,10:00,21:00,1,true
68,Tin,Mexico,medium,Ridgewood,10:00,21:00,5,false
69,Redhold,Peru,expensive,Battery Park City,10:00,21:00,2,false
70,Veribet,Russia,cheap,Yorkville,10:00,21:00,3,true
71,Ronstring,Zambia,expensive,Carroll Gardens,10:00,21:00,5,false
72,Aerified,Poland,expensive,Bronx Park,10:00,21:00,1,false
73,Quo Lux,China,expensive,Gowanus,10:00,21:00,2,false
74,Zamit,Guatemala,expensive,Little Italy,10:00,21:00,4,false
75,Subin,Ukraine,cheap,Long Island City,10:00,21:00,4,true
76,Hatity,France,cheap,Murray Hill,10:00,21:00,2,true
77,Daltfresh,China,medium,Upper East Side,10:00,21:00,5,true
78,Hatity,China,medium,Williamsburg,10:00,21:00,4,true
79,Tin,Mauritius,expensive,Coney Island,10:00,21:00,4,false
80,Veribet,North Korea,medium,Yorkville,10:00,21:00,5,false
81,Regrant,China,cheap,Greenpoint,10:00,21:00,5,true
82,Bigtax,Ghana,cheap,Flatiron District,10:00,21:00,1,false
83,Biodex,Peru,expensive,Astoria,10:00,21:00,2,true
84,Greenlam,Indonesia,medium,Brooklyn Heights,10:00,21:00,4,true
85,Fintone,Norway,expensive,Upper West Side,10:00,21:00,2,false
86,Voyatouch,Canada,cheap,Red Hook,10:00,21:00,3,true
87,Viva,Uzbekistan,expensive,Fort Greene,10:00,21:00,4,false
88,Daltfresh,Madagascar,medium,Windsor Terrace,10:00,21:00,3,true
89,Biodex,Indonesia,medium,Jamaica,10:00,21:00,1,false
90,Biodex,Nicaragua,expensive,Fort Greene,10:00,21:00,1,true
91,Regrant,Bosnia and Herzegovina,expensive,Upper East Side,10:00,21:00,3,false
92,Treeflex,Sweden,expensive,Ridgewood,10:00,21:00,2,false
93,Flexidy,Zambia,medium,Red Hook,10:00,21:00,3,true
94,Redhold,Indonesia,medium,St. George,10:00,21:00,5,false
95,Zathin,China,cheap,Battery Park City,10:00,21:00,3,true
96,Domainer,China,medium,Columbia Street Waterfront District,10:00,21:00,5,false
97,Fixflex,Russia,cheap,Flatiron District,10:00,21:00,2,false
98,Regrant,Russia,medium,West Village,10:00,21:00,1,false
99,Viva,Burundi,cheap,Hell's Kitchen,10:00,21:00,1,false
100,Alphazap,Russia,medium,Inwood,10:00,21:00,5,true
101,Holdlamis,Russia,medium,Tribeca,10:00,21:00,1,false
102,Job,Russia,medium,Astoria,10:00,21:00,4,true
103,Regrant,Moldova,medium,Gowanus,10:00,21:00,2,false
104,Solarbreeze,Peru,medium,Battery Park City,10:00,21:00,5,true
105,Pannier,Russia,expensive,Harlem,10:00,21:00,2,false
106,Overhold,Russia,medium,Sunset Park,10:00,21:00,4,true
107,Andalax,Brazil,expensive,Nolita,10:00,21:00,1,false
108,Job,Greece,cheap,Long Island City,10:00,21:00,5,false
109,Y-find,Germany,medium,Astoria,10:00,21:00,4,false
110,Ventosanzap,China,cheap,Tribeca,10:00,21:00,3,false
111,Tampflex,Russia,expensive,Red Hook,10:00,21:00,4,true
112,Sonsing,China,medium,South Slope,10:00,21:00,4,true
113,Greenlam,China,medium,Fort Greene,10:00,21:00,3,true
114,Temp,Tajikistan,cheap,Carroll Gardens,10:00,21:00,2,false
115,Veribet,Zambia,expensive,Jamaica,10:00,21:00,3,true
116,Rank,Philippines,medium,Sunset Park,10:00,21:00,4,true
117,Matsoft,Japan,cheap,Koreatown,10:00,21:00,5,false
118,Job,Pakistan,expensive,Windsor Terrace,10:00,21:00,1,false
119,Voyatouch,Philippines,cheap,Greenpoint,10:00,21:00,2,true
120,Zamit,Egypt,medium,Boerum Hill,10:00,21:00,2,true
121,Zathin,China,medium,Long Island City,10:00,21:00,4,false
122,Stronghold,Venezuela,medium,Columbia Street Waterfront District,10:00,21:00,4,false
123,Tampflex,Indonesia,expensive,Nolita,10:00,21:00,5,false
124,Aerified,China,expensive,Morningside Heights,10:00,21:00,4,true
125,Tresom,Spain,expensive,Stuyvesant Town,10:00,21:00,3,true
126,Y-Solowarm,Ivory Coast,cheap,Little Italy,10:00,21:00,2,true
127,Span,China,expensive,NoHo,10:00,21:00,2,false
128,Hatity,Portugal,cheap,Prospect Heights,10:00,21:00,2,false
129,Alphazap,Iran,medium,Tribeca,10:00,21:00,3,true
130,Bytecard,Portugal,cheap,Queensbridge,10:00,21:00,3,true
131,Namfix,Vietnam,cheap,Flushing,10:00,21:00,2,true
132,Toughjoyfax,Nigeria,cheap,Nolita,10:00,21:00,4,false
133,Fix San,Indonesia,medium,Upper East Side,10:00,21:00,4,true
134,Konklab,China,expensive,Financial District,10:00,21:00,4,false
135,Bamity,Portugal,cheap,Morningside Heights,10:00,21:00,3,false
136,Alphazap,United States,cheap,NoHo,10:00,21:00,2,true
137,Regrant,China,cheap,Lower East Side,10:00,21:00,5,true
138,Subin,Peru,medium,Bronx Park,10:00,21:00,1,true
139,Bitchip,Poland,cheap,Chinatown,10:00,21:00,1,false
140,It,Belarus,medium,Jackson Heights,10:00,21:00,4,false
141,Holdlamis,Lithuania,cheap,South Slope,10:00,21:00,2,true
142,Cookley,Poland,expensive,Jackson Heights,10:00,21:00,2,true
143,Alpha,Philippines,cheap,Midtown,10:00,21:00,4,false
144,Stronghold,Colombia,cheap,Greenpoint,10:00,21:00,4,false
145,Opela,Belarus,expensive,Inwood,10:00,21:00,4,true
146,Sub-Ex,China,expensive,Coney Island,10:00,21:00,5,true
147,Lotstring,Russia,expensive,Chinatown,10:00,21:00,5,true
148,Alpha,Czech Republic,cheap,Cobble Hill,10:00,21:00,1,true
149,Stringtough,France,cheap,Coney Island,10:00,21:00,1,false
150,Veribet,China,expensive,Two Bridges,10:00,21:00,4,true
151,Quo Lux,China,medium,Flushing,10:00,21:00,2,true
152,Holdlamis,Philippines,medium,Red Hook,10:00,21:00,3,false
153,Tresom,Poland,medium,Inwood,10:00,21:00,5,false
154,Otcom,Colombia,expensive,Midtown,10:00,21:00,4,false
155,Greenlam,France,expensive,Sunset Park,10:00,21:00,1,false
156,Flowdesk,Canada,expensive,Sunset Park,10:00,21:00,4,true
157,Cardguard,France,cheap,Prospect Heights,10:00,21:00,2,true
158,Bitchip,Kuwait,expensive,Murray Hill,10:00,21:00,4,true
159,Rank,Cuba,expensive,Two Bridges,10:00,21:00,2,true
160,Bitchip,Peru,expensive,Carroll Gardens,10:00,21:00,2,false
161,Duobam,China,cheap,Inwood,10:00,21:00,4,false
162,Matsoft,China,expensive,Prospect Heights,10:00,21:00,5,true
163,Aerified,United States,expensive,Inwood,10:00,21:00,1,true
164,Latlux,China,cheap,Meatpacking District,10:00,21:00,5,true
165,Fixflex,Russia,expensive,Bronx Park,10:00,21:00,5,true
166,Alphazap,Russia,expensive,East Harlem,10:00,21:00,4,false
167,Namfix,Russia,medium,Flatiron District,10:00,21:00,5,true
168,Tempsoft,Brazil,medium,Jackson Heights,10:00,21:00,1,true
169,Regrant,Brazil,medium,Ridgewood,10:00,21:00,3,true
170,Latlux,Luxembourg,medium,Carroll Gardens,10:00,21:00,4,true
171,Veribet,Poland,expensive,Windsor Terrace,10:00,21:00,4,true
172,Zaam-Dox,Canada,medium,Financial District,10:00,21:00,1,true
173,Konklux,Philippines,medium,Fort Greene,10:00,21:00,2,true
174,Konklab,China,medium,Bed-Stuy,10:00,21:00,4,false
175,Flowdesk,Venezuela,expensive,Tribeca,10:00,21:00,3,false
176,Home Ing,Tanzania,medium,Murray Hill,10:00,21:00,2,false
177,Stim,Sweden,medium,Red Hook,10:00,21:00,1,true
178,Ronstring,Indonesia,expensive,Meatpacking District,10:00,21:00,3,true
179,Zamit,Indonesia,cheap,Murray Hill,10:00,21:00,3,true
180,Kanlam,China,expensive,Gowanus,10:00,21:00,3,false
181,Fintone,Brazil,expensive,SoHo,10:00,21:00,2,false
182,Gembucket,Indonesia,expensive,Greenpoint,10:00,21:00,4,false
183,Tin,Germany,expensive,Gowanus,10:00,21:00,1,false
184,Toughjoyfax,Philippines,medium,Astoria,10:00,21:00,5,true
185,Greenlam,China,expensive,Tribeca,10:00,21:00,1,true
186,Duobam,Vietnam,medium,Nolita,10:00,21:00,5,true
187,Zoolab,Vietnam,medium,Two Bridges,10:00,21:00,4,false
188,Cardguard,Brazil,cheap,Financial District,10:00,21:00,5,true
189,Hatity,Brazil,medium,Kips Bay,10:00,21:00,3,false
190,Kanlam,Kenya,expensive,Lower East Side,10:00,21:00,4,true
191,Trippledex,France,expensive,Yorkville,10:00,21:00,3,true
192,Redhold,Kazakhstan,medium,Kips Bay,10:00,21:00,2,true
193,Lotstring,Armenia,expensive,Astoria,10:00,21:00,4,false
194,Daltfresh,Philippines,medium,Two Bridges,10:00,21:00,3,false
195,Temp,Panama,medium,Little Italy,10:00,21:00,2,true
196,Domainer,Paraguay,expensive,Tribeca,10:00,21:00,1,false
197,Lotstring,Benin,expensive,Battery Park City,10:00,21:00,5,true
198,Flowdesk,Guatemala,medium,Coney Island,10:00,21:00,3,false
199,Daltfresh,Ukraine,expensive,Park Slope,10:00,21:00,5,true
200,Bamity,France,cheap,Cobble Hill,10:00,21:00,2,true
201,Overhold,China,expensive,Gowanus,10:00,21:00,5,true
202,Lotlux,Philippines,cheap,Gowanus,10:00,21:00,1,true
203,Stronghold,Russia,cheap,SoHo,10:00,21:00,1,true
204,Treeflex,Sweden,medium,Battery Park City,10:00,21:00,4,true
205,Flexidy,Nicaragua,medium,Boerum Hill,10:00,21:00,3,true
206,Bigtax,Dominican Republic,expensive,Sunset Park,10:00,21:00,1,false
207,Mat Lam Tam,Russia,cheap,Bed-Stuy,10:00,21:00,4,false
208,Tres-Zap,Finland,expensive,Red Hook,10:00,21:00,4,true
209,Opela,China,cheap,East Harlem,10:00,21:00,1,true
210,It,Japan,expensive,Financial District,10:00,21:00,5,true
211,Transcof,Indonesia,cheap,Murray Hill,10:00,21:00,3,false
212,Opela,Philippines,expensive,Cobble Hill,10:00,21:00,5,true
213,Namfix,Russia,expensive,Koreatown,10:00,21:00,5,true
214,Fintone,Ukraine,cheap,Midtown,10:00,21:00,4,true
215,Mat Lam Tam,Portugal,medium,Kips Bay,10:00,21:00,4,false
216,Tampflex,Portugal,medium,SoHo,10:00,21:00,4,false
217,Temp,China,medium,Yorkville,10:00,21:00,4,false
218,Transcof,Finland,medium,Murray Hill,10:00,21:00,2,true
219,Zontrax,Guatemala,cheap,DUMBO,10:00,21:00,5,false
220,Sub-Ex,China,expensive,Morningside Heights,10:00,21:00,4,true
221,Greenlam,China,medium,Financial District,10:00,21:00,2,true
222,Pannier,China,cheap,East Village,10:00,21:00,1,false
223,Cardguard,Canada,medium,Little Italy,10:00,21:00,4,false
224,Voyatouch,Canada,medium,Cobble Hill,10:00,21:00,2,true
225,Tresom,Iran,medium,Yorkville,10:00,21:00,5,true
226,Bitchip,Pakistan,cheap,Meatpacking District,10:00,21:00,2,true
227,Toughjoyfax,Philippines,medium,Gowanus,10:00,21:00,2,true
228,Bamity,Finland,cheap,Windsor Terrace,10:00,21:00,5,false
229,Gembucket,China,cheap,Financial District,10:00,21:00,5,true
230,Quo Lux,France,cheap,Sunset Park,10:00,21:00,4,false
231,Solarbreeze,South Korea,expensive,Battery Park City,10:00,21:00,5,true
232,Konklux,Burkina Faso,medium,Brooklyn Heights,10:00,21:00,5,false
233,Flexidy,Kazakhstan,cheap,West Village,10:00,21:00,2,true
234,Namfix,Cape Verde,medium,Flushing,10:00,21:00,4,true
235,Zathin,China,cheap,Upper West Side,10:00,21:00,5,false
236,Andalax,China,expensive,Coney Island,10:00,21:00,2,false
237,Voltsillam,France,cheap,Hell's Kitchen,10:00,21:00,5,true
238,Biodex,Indonesia,expensive,Upper East Side,10:00,21:00,4,false
239,Alphazap,Brazil,cheap,Inwood,10:00,21:00,3,false
240,Lotstring,China,medium,Park Slope,10:00,21:00,1,true
241,Alphazap,Russia,medium,Tribeca,10:00,21:00,5,true
242,Flexidy,French Polynesia,cheap,St. George,10:00,21:00,3,true
243,Zontrax,South Africa,expensive,Bronx Park,10:00,21:00,4,true
244,Sonair,Colombia,expensive,West Village,10:00,21:00,1,true
245,Domainer,China,expensive,Long Island City,10:00,21:00,5,false
246,Tampflex,Portugal,cheap,Queensbridge,10:00,21:00,4,true
247,Bigtax,China,expensive,Prospect Heights,10:00,21:00,4,false
248,Veribet,Russia,expensive,Columbia Street Waterfront District,10:00,21:00,4,true
249,Konklux,Indonesia,expensive,Brooklyn Heights,10:00,21:00,4,true
250,Fixflex,China,expensive,Upper West Side,10:00,21:00,1,false
251,Voyatouch,Guatemala,cheap,Coney Island,10:00,21:00,1,false
252,Holdlamis,Macedonia,medium,Jamaica,10:00,21:00,2,true
253,Stim,Czech Republic,cheap,Jackson Heights,10:00,21:00,3,true
254,Tresom,Uruguay,medium,Coney Island,10:00,21:00,2,true
255,Domainer,Spain,cheap,Meatpacking District,10:00,21:00,1,true
256,Daltfresh,Czech Republic,cheap,Battery Park City,10:00,21:00,4,false
257,Tres-Zap,Czech Republic,medium,Bronx Park,10:00,21:00,3,false
258,Tampflex,Peru,expensive,Hell's Kitchen,10:00,21:00,3,false
259,Y-Solowarm,China,expensive,Park Slope,10:00,21:00,3,false
260,Temp,Palestinian Territory,expensive,Flushing,10:00,21:00,3,false
261,Fix San,Japan,cheap,Two Bridges,10:00,21:00,5,true
262,Y-Solowarm,Indonesia,cheap,Brooklyn Heights,10:00,21:00,5,false
263,Ventosanzap,Portugal,cheap,Prospect Heights,10:00,21:00,1,true
264,Y-Solowarm,Morocco,expensive,Coney Island,10:00,21:00,1,true
265,Trippledex,Indonesia,expensive,Fort Greene,10:00,21:00,2,false
266,Kanlam,Indonesia,cheap,Queensbridge,10:00,21:00,3,false
267,Zontrax,Philippines,expensive,Coney Island,10:00,21:00,2,true
268,Bitwolf,China,medium,Astoria,10:00,21:00,1,true
269,Overhold,Philippines,medium,Long Island City,10:00,21:00,5,false
270,Voyatouch,Mexico,cheap,West Village,10:00,21:00,1,true
271,Transcof,Mexico,medium,Carroll Gardens,10:00,21:00,4,false
272,Pannier,Philippines,medium,Red Hook,10:00,21:00,4,false
273,Duobam,Indonesia,medium,Bronx Park,10:00,21:00,5,true
274,Span,Brazil,expensive,NoHo,10:00,21:00,1,false
275,Zathin,Poland,cheap,Hell's Kitchen,10:00,21:00,3,true
276,Rank,Mexico,expensive,Hell's Kitchen,10:00,21:00,1,false
277,Quo Lux,Yemen,medium,Sunset Park,10:00,21:00,4,true
278,Fintone,China,medium,Hell's Kitchen,10:00,21:00,2,true
279,Transcof,Sudan,cheap,Hell's Kitchen,10:00,21:00,3,false
280,Span,Portugal,expensive,Red Hook,10:00,21:00,3,true
281,Daltfresh,United States,cheap,Harlem,10:00,21:00,5,false
282,Y-find,China,expensive,Morningside Heights,10:00,21:00,4,false
283,Otcom,Thailand,expensive,Cobble Hill,10:00,21:00,3,true
284,Subin,Indonesia,expensive,South Slope,10:00,21:00,2,false
285,Zathin,France,medium,St. George,10:00,21:00,1,false
286,Fix San,Mongolia,cheap,Park Slope,10:00,21:00,3,true
287,Zaam-Dox,China,expensive,Windsor Terrace,10:00,21:00,3,false
288,Bitwolf,Russia,cheap,SoHo,10:00,21:00,3,true
289,Cookley,Brazil,expensive,Fort Greene,10:00,21:00,2,false
290,Fix San,Brazil,cheap,NoHo,10:00,21:00,2,true
291,Cardify,Czech Republic,cheap,Midtown,10:00,21:00,1,true
292,Voyatouch,Mexico,expensive,Coney Island,10:00,21:00,1,false
293,Stim,China,cheap,SoHo,10:00,21:00,5,false
294,Konklux,Czech Republic,expensive,Ridgewood,10:00,21:00,4,true
295,Prodder,Thailand,expensive,Inwood,10:00,21:00,5,false
296,Zontrax,Portugal,medium,DUMBO,10:00,21:00,5,false
297,Ventosanzap,Indonesia,medium,Stuyvesant Town,10:00,21:00,5,true
298,Opela,Brazil,medium,Greenpoint,10:00,21:00,3,false
299,Duobam,Portugal,expensive,West Village,10:00,21:00,5,true
300,Solarbreeze,Bulgaria,expensive,Harlem,10:00,21:00,2,false
301,Job,China,cheap,Financial District,10:00,21:00,5,true
302,Fintone,Brazil,medium,Prospect Heights,10:00,21:00,3,false
303,Asoka,Philippines,cheap,Cobble Hill,10:00,21:00,2,true
304,Zathin,Portugal,cheap,SoHo,10:00,21:00,5,true
305,Transcof,China,cheap,Fort Greene,10:00,21:00,1,true
306,Zaam-Dox,New Zealand,cheap,Koreatown,10:00,21:00,5,true
307,Greenlam,China,cheap,Kips Bay,10:00,21:00,1,false
308,Bytecard,Uruguay,expensive,Red Hook,10:00,21:00,1,false
309,Quo Lux,Serbia,expensive,Red Hook,10:00,21:00,2,false
310,Otcom,Sweden,medium,Meatpacking District,10:00,21:00,4,true
311,Pannier,Japan,medium,Brooklyn Heights,10:00,21:00,1,false
312,Zontrax,Brazil,cheap,Meatpacking District,10:00,21:00,1,false
313,Greenlam,China,cheap,DUMBO,10:00,21:00,1,true
314,Matsoft,Russia,medium,Bronx Park,10:00,21:00,5,false
315,Flowdesk,Indonesia,medium,Upper West Side,10:00,21:00,4,true
316,Prodder,China,cheap,Harlem,10:00,21:00,4,true
317,Matsoft,Mongolia,medium,Fort Greene,10:00,21:00,3,false
318,Viva,Indonesia,medium,Jamaica,10:00,21:00,2,true
319,Zontrax,Czech Republic,medium,Carroll Gardens,10:00,21:00,4,true
320,Otcom,Mauritius,expensive,Red Hook,10:00,21:00,1,false
321,Solarbreeze,Mongolia,expensive,Financial District,10:00,21:00,1,false
322,Lotstring,Brazil,medium,West Village,10:00,21:00,1,false
323,It,Sweden,cheap,Lower East Side,10:00,21:00,2,false
324,Rank,Croatia,medium,St. George,10:00,21:00,5,true
325,Bytecard,Syria,expensive,Park Slope,10:00,21:00,5,true
326,Domainer,China,cheap,Stuyvesant Town,10:00,21:00,4,false
327,Aerified,China,medium,Sunset Park,10:00,21:00,3,false
328,Ronstring,Mexico,cheap,Flushing,10:00,21:00,3,true
329,Tin,Russia,expensive,Fort Greene,10:00,21:00,3,true
330,Sonair,Indonesia,cheap,Windsor Terrace,10:00,21:00,2,false
331,Span,Philippines,cheap,Midtown,10:00,21:00,1,true
332,Andalax,Philippines,medium,DUMBO,10:00,21:00,4,false
333,Y-find,Ukraine,cheap,Boerum Hill,10:00,21:00,3,false
334,Bytecard,France,medium,Queensbridge,10:00,21:00,1,true
335,Stim,China,medium,Financial District,10:00,21:00,3,false
336,Cookley,Pakistan,medium,Murray Hill,10:00,21:00,1,true
337,Cardguard,Dominican Republic,cheap,Queensbridge,10:00,21:00,2,true
338,Tres-Zap,China,medium,Tribeca,10:00,21:00,4,true
339,Holdlamis,Myanmar,cheap,Tribeca,10:00,21:00,5,true
340,Konklab,Namibia,medium,DUMBO,10:00,21:00,2,true
341,Biodex,Iran,medium,Coney Island,10:00,21:00,1,true
342,Subin,Indonesia,medium,Prospect Heights,10:00,21:00,4,false
343,Greenlam,China,cheap,Williamsburg,10:00,21:00,3,true
344,Stringtough,Brazil,cheap,DUMBO,10:00,21:00,3,true
345,Stim,Armenia,medium,Ridgewood,10:00,21:00,5,false
346,Holdlamis,China,expensive,Nolita,10:00,21:00,3,true
347,Domainer,China,cheap,Financial District,10:00,21:00,3,false
348,Stronghold,Portugal,expensive,Bronx Park,10:00,21:00,4,true
349,Alpha,France,expensive,Lower East Side,10:00,21:00,2,false
350,Zaam-Dox,Haiti,expensive,Kips Bay,10:00,21:00,4,false
351,Sonsing,France,expensive,Jamaica,10:00,21:00,1,false
352,Subin,Russia,cheap,Cobble Hill,10:00,21:00,2,false
353,Stronghold,Czech Republic,medium,Fort Greene,10:00,21:00,3,false
354,Temp,China,medium,Bronx Park,10:00,21:00,5,true
355,Toughjoyfax,China,medium,Stuyvesant Town,10:00,21:00,1,true
356,Solarbreeze,China,cheap,Stuyvesant Town,10:00,21:00,2,true
357,Domainer,Brazil,expensive,Morningside Heights,10:00,21:00,2,true
358,Trippledex,Russia,expensive,Financial District,10:00,21:00,1,false
359,Tempsoft,Honduras,medium,Morningside Heights,10:00,21:00,2,false
360,Holdlamis,Japan,expensive,Upper East Side,10:00,21:00,4,true
361,Holdlamis,Vietnam,medium,Carroll Gardens,10:00,21:00,3,false
362,Voyatouch,Poland,expensive,Astoria,10:00,21:00,4,true
363,Lotstring,Indonesia,expensive,Koreatown,10:00,21:00,2,true
364,Tampflex,Bosnia and Herzegovina,expensive,Chinatown,10:00,21:00,5,true
365,Hatity,Indonesia,cheap,Financial District,10:00,21:00,5,false
366,Tresom,Peru,cheap,East Harlem,10:00,21:00,2,true
367,Fixflex,China,medium,NoHo,10:00,21:00,5,true
368,Transcof,Indonesia,expensive,Inwood,10:00,21:00,3,true
369,Bytecard,Bosnia and Herzegovina,medium,Astoria,10:00,21:00,3,true
370,Lotlux,Ukraine,medium,St. George,10:00,21:00,5,true
371,Veribet,Brazil,cheap,Red Hook,10:00,21:00,4,true
372,Pannier,Peru,cheap,Gowanus,10:00,21:00,4,false
373,Trippledex,Indonesia,cheap,Williamsburg,10:00,21:00,2,false
374,Span,Russia,cheap,Long Island City,10:00,21:00,4,true
375,Transcof,Brazil,expensive,Long Island City,10:00,21:00,5,false
376,Konklux,Sweden,cheap,Carroll Gardens,10:00,21:00,5,true
377,Mat Lam Tam,Vietnam,cheap,Cobble Hill,10:00,21:00,4,true
378,Ventosanzap,Uruguay,medium,Fort Greene,10:00,21:00,5,true
379,Alpha,Portugal,expensive,Jamaica,10:00,21:00,3,false
380,Lotstring,Brazil,cheap,Gowanus,10:00,21:00,1,true
381,Daltfresh,Philippines,medium,East Harlem,10:00,21:00,4,false
382,Bytecard,Madagascar,medium,Greenpoint,10:00,21:00,4,true
383,Trippledex,Indonesia,medium,Brooklyn Heights,10:00,21:00,5,true
384,Konklux,China,cheap,Morningside Heights,10:00,21:00,5,true
385,Gembucket,Indonesia,medium,Jackson Heights,10:00,21:00,2,false
386,Tres-Zap,China,medium,Upper West Side,10:00,21:00,1,true
387,Domainer,Brazil,medium,Battery Park City,10:00,21:00,4,true
388,Flowdesk,China,medium,Upper West Side,10:00,21:00,5,true
389,Flowdesk,China,cheap,Chinatown,10:00,21:00,1,false
390,Flexidy,Thailand,cheap,Prospect Heights,10:00,21:00,5,true
391,Bamity,Greece,cheap,SoHo,10:00,21:00,1,false
392,Bitchip,Antigua and Barbuda,medium,Brooklyn Heights,10:00,21:00,3,false
393,Treeflex,China,medium,Park Slope,10:00,21:00,2,true
394,Sonair,China,expensive,Midtown,10:00,21:00,2,true
395,Stronghold,France,medium,West Village,10:00,21:00,5,true
396,Cardguard,China,expensive,Lower East Side,10:00,21:00,3,true
397,Y-find,Indonesia,cheap,East Village,10:00,21:00,5,true
398,Konklux,Sweden,medium,Fort Greene,10:00,21:00,4,true
399,Fix San,Thailand,medium,Gowanus,10:00,21:00,2,false
400,Viva,China,medium,Carroll Gardens,10:00,21:00,2,false
401,Voltsillam,Indonesia,cheap,East Harlem,10:00,21:00,4,false
